date,nav,daily_return,fund_code
2018-09-05,1.0,0.0,005827
2018-09-07,0.9986,0.0,005827
2018-09-14,0.9985,0.0,005827
2018-09-21,1.0143,0.0,005827
2018-09-28,1.0192,0.0,005827
2018-10-08,0.9972,-2.1586,005827
2018-10-09,0.997,-0.0201,005827
2018-10-10,0.9885,-0.8526,005827
2018-10-11,0.9731,-1.5579,005827
2018-10-12,0.9872,1.449,005827
2018-10-15,0.982,-0.5267,005827
2018-10-16,0.9793,-0.2749,005827
2018-10-18,0.9706,0.0,005827
2018-10-19,0.9855,1.5351,005827
2018-10-22,1.0084,2.3237,005827
2018-10-23,0.983,-2.5188,005827
2018-10-24,0.9748,-0.8342,005827
2018-10-25,0.9623,-1.2823,005827
2018-10-26,0.9529,-0.9768,005827
2018-10-29,0.9246,-2.9699,005827
2018-10-30,0.9201,-0.4867,005827
2018-10-31,0.9374,1.8802,005827
2018-11-01,0.9503,1.3761,005827
2018-11-02,0.9893,4.104,005827
2018-11-05,0.9727,-1.678,005827
2018-11-06,0.9686,-0.4215,005827
2018-11-07,0.9667,-0.1962,005827
2018-11-08,0.9688,0.2172,005827
2018-11-09,0.9602,-0.8877,005827
2018-11-12,0.9593,-0.0937,005827
2018-11-13,0.9687,0.9799,005827
2018-11-14,0.9609,-0.8052,005827
2018-11-15,0.9658,0.5099,005827
2018-11-16,0.967,0.1242,005827
2018-11-19,0.9748,0.8066,005827
2018-11-20,0.9599,-1.5285,005827
2018-11-21,0.968,0.8438,005827
2018-11-22,0.9693,0.1343,005827
2018-11-23,0.9606,-0.8976,005827
2018-11-26,0.9617,0.1145,005827
2018-11-27,0.9605,-0.1248,005827
2018-11-28,0.9683,0.8121,005827
2018-11-29,0.9641,-0.4337,005827
2018-11-30,0.9707,0.6846,005827
2018-12-03,0.9923,2.2252,005827
2018-12-04,0.9939,0.1612,005827
2018-12-05,0.9904,-0.3521,005827
2018-12-06,0.9651,-2.5545,005827
2018-12-07,0.9634,-0.1761,005827
2018-12-10,0.9569,-0.6747,005827
2018-12-11,0.963,0.6375,005827
2018-12-12,0.9678,0.4984,005827
2018-12-13,0.9788,1.1366,005827
2018-12-14,0.9688,-1.0217,005827
2018-12-17,0.9642,-0.4748,005827
2018-12-18,0.9591,-0.5289,005827
2018-12-19,0.9514,-0.8028,005827
2018-12-20,0.9479,-0.3679,005827
2018-12-21,0.9404,-0.7912,005827
2018-12-31,0.9471,0.0,005827
2019-01-02,0.9306,0.0,005827
2019-01-03,0.9199,-1.1498,005827
2019-01-04,0.9268,0.7501,005827
2019-01-07,0.9315,0.5071,005827
2019-01-08,0.9332,0.1825,005827
2019-01-09,0.9473,1.5109,005827
2019-01-10,0.95,0.285,005827
2019-01-11,0.9557,0.6,005827
2019-01-14,0.9413,-1.5067,005827
2019-01-15,0.9688,2.9215,005827
2019-01-16,0.9718,0.3097,005827
2019-01-17,0.9705,-0.1338,005827
2019-01-18,0.9932,2.339,005827
2019-01-21,0.9987,0.5538,005827
2019-01-22,0.9848,-1.3918,005827
2019-01-23,0.9817,-0.3148,005827
2019-01-24,0.9849,0.326,005827
2019-01-25,0.9975,1.2793,005827
2019-01-28,0.9982,0.0702,005827
2019-01-29,1.0025,0.4308,005827
2019-01-30,0.9954,-0.7082,005827
2019-02-11,1.0475,0.0,005827
2019-02-12,1.0569,0.8974,005827
2019-02-13,1.0704,1.2773,005827
2019-02-14,1.0739,0.327,005827
2019-02-15,1.0509,-2.1417,005827
2019-02-18,1.0773,2.5121,005827
2019-02-19,1.0693,-0.7426,005827
2019-02-20,1.0717,0.2244,005827
2019-02-21,1.072,0.028,005827
2019-02-22,1.082,0.9328,005827
2019-02-25,1.1044,2.0702,005827
2019-02-26,1.0897,-1.331,005827
2019-02-27,1.0829,-0.624,005827
2019-02-28,1.0918,0.8219,005827
2019-03-01,1.1224,2.8027,005827
2019-03-04,1.137,1.3008,005827
2019-03-05,1.1393,0.2023,005827
2019-03-06,1.135,-0.3774,005827
2019-03-07,1.1061,-2.5463,005827
2019-03-08,1.0829,-2.0975,005827
2019-03-11,1.1179,3.2321,005827
2019-03-12,1.1256,0.6888,005827
2019-03-13,1.1241,-0.1333,005827
2019-03-14,1.1278,0.3292,005827
2019-03-15,1.1465,1.6581,005827
2019-03-18,1.1928,4.0384,005827
2019-03-19,1.185,-0.6539,005827
2019-03-20,1.1787,-0.5316,005827
2019-03-21,1.1708,-0.6702,005827
2019-03-22,1.1796,0.7516,005827
2019-03-25,1.1498,-2.5263,005827
2019-03-26,1.1532,0.2957,005827
2019-03-27,1.1692,1.3874,005827
2019-03-28,1.1752,0.5132,005827
2019-03-29,1.2046,2.5017,005827
2019-04-01,1.2167,1.0045,005827
2019-04-02,1.2087,-0.6575,005827
2019-04-03,1.2203,0.9597,005827
2019-04-04,1.2293,0.7375,005827
2019-04-08,1.2458,1.3422,005827
2019-04-09,1.2637,1.4368,005827
2019-04-10,1.2725,0.6964,005827
2019-04-11,1.2405,-2.5147,005827
2019-04-12,1.2388,-0.137,005827
2019-04-15,1.2262,-1.0171,005827
2019-04-16,1.2462,1.6311,005827
2019-04-17,1.25,0.3049,005827
2019-04-18,1.2444,-0.448,005827
2019-04-23,1.2568,0.0,005827
2019-04-24,1.2525,-0.3421,005827
2019-04-25,1.2315,-1.6766,005827
2019-04-26,1.2361,0.3735,005827
2019-04-30,1.2594,0.0,005827
2019-05-06,1.1972,-4.9389,005827
2019-05-07,1.217,1.6539,005827
2019-05-08,1.2076,-0.7724,005827
2019-05-09,1.1682,-3.2627,005827
